"word","interim_degree","final_degree"
"entrepreneurs",12,12
"entry",81,116
"environment",53,179
"environmentagnostic",0,16
"environmental",32,52
"environments",67,133
"envision",0,63
"envisioning",443,98
"envisions",0,19
"equal",43,0
"equally",13,63
"equate",34,0
"equations",34,0
"equip",0,65
"equipment",55,0
"equipped",17,32
"equitable",0,40
"equitably",16,12
"equity",0,16
"era",0,120
"eric",34,0
"ernst",0,23
"error",0,83
"errors",0,53
"es",0,4
"esigning",0,23
"especially",171,207
"essential",63,204
"essentially",0,75
"essentials",0,75
"est",0,12
"establish",13,86
"established",77,226
"establishes",0,18
"establishing",77,54
"establishment",0,53
"estimates",27,0
"estimating",0,17
"estrada",0,58
"et",129,252
"etc",31,0
"ethical",325,418
"ethicalguidelinespdf",0,1
"ethics",222,285
"ethnic",41,12
"ethnicities",0,24
"ethnicity",0,43
"ethods",0,46
"eugdprorg",0,2
"european",0,31
"eva",0,38
"evacuees",0,7
"evaluate",104,44
"evaluated",135,24
"evaluates",0,12
"evaluating",37,43
"evaluation",246,380
"­evaluation",0,12
"evaluations",11,14
"evans",0,42
"even",56,154
"event",15,0
"events",28,88
"eventual",0,18
"eventually",0,57
"ever",9,11
"everchanging",12,0
"evergrowing",0,22
"every",59,62
"evidence",29,146
"evidencebased",16,20
"evident",23,14
"evolution",19,267
"evolve",36,272
"evolved",26,19
"evolves",35,0
"evolving",84,197
"ewing",7,0
"exam",0,15
"examination",0,36
"examine",0,89
"examines",44,0
"examining",0,24
"example",347,405
"examples",174,281
"exceed",0,27
"excel",0,97
"exception",0,12
"exceptionally",0,24
"excitement",15,18
"execute",0,5
"execute",0,78
"executive",0,19
"executives",29,21
"exercises",17,3
"exhibit",9,0
"exhibits",0,21
"exist",138,62
"existed",0,19
"existence",11,9
"existing",281,370
"exists",0,70
"expand",59,36
"expanded",18,30
"expanding",50,144
"expands",0,22
"expect",0,38
"expectations",0,55
"expected",9,123
"expedition",48,0
"expenditures",0,7
"expensive",0,12
"experience",316,566
"experienced",0,9
"experiences",314,197
"experiencing",0,11
"experiential",52,55
"experiment",0,15
"experimental",43,75
"experiments",85,28
"expert",0,14
"expertise",191,181
"experts",0,35
"explain",41,0
"explaining",35,0
"explains",0,24
"explicit",0,20
"exploitation",31,0
"exploited",0,13
"exploiting",0,32
"exploration",34,6
"explorations",0,31
"exploratorium",18,0
"exploratory",43,89
"explore",171,84
"explored",20,12
"exploree",23,0
"explores",30,11
"exploring",14,24
"explosion",12,13
"expose",10,97
"exposed",16,56
"exposes",28,0
"exposing",14,0
"exposure",128,211
"expressed",0,21
"expressing",53,0
"expressions",0,38
"extant",15,0
"extend",31,14
"extended",0,15
"extends",18,10
"extensions",18,12
"extensive",0,55
"extensively",0,16
"extent",0,25
"external",0,45
"externship",17,0
"extract",42,42
"extracted",0,15
"extracting",17,70
"extraction",18,21
"extracurricular",12,0
"extreme",0,75
"extremely",0,40
"eye",0,26
"f",0,7
"face",20,94
"faced",13,15
"faces",0,15
"facet",36,0
"facial",0,13
"facile",0,12
"facilitate",0,11
"facilitated",66,0
"facilitates",14,0
"facilitating",0,2
"facilitating",0,88
"facilities",19,33
"facility",18,31
"facing",0,40
"fact",21,70
"factor",21,0
"factors",89,124
"faculty",372,563
"fail",12,25
"failures",9,14
"fair",19,9
"fairly",0,18
"fairness",20,39
"faithful",20,0
"fall",0,111
"falsified",27,0
"familiar",11,0
"families",0,21
"family",44,41
"far",44,47
"farfetched",0,11
"fashion",0,15
"fast",0,66
"faster",0,4
"fastflowing",22,0
"fastpaced",0,22
"fasttrack",0,19
"faulty",27,0
"feasible",66,0
"feature",13,20
"features",52,47
"february",0,241
"federal",17,24
"federate",0,29
"federated",0,29
"feedback",13,14
"feeds",0,19
"feel",0,20
"feeling",0,21
"feldon",0,24
"fellow",32,33
"fellowship",34,0
"fellowships",25,10
"female",0,37
"fests",0,21
"fever",31,16
"fewer",0,100
"field",359,418
"fieldbased",13,0
"fields",176,422
"fieldspecific",15,0
"figlio",0,80
"figure",0,19
"files",0,14
"fill",55,28
"filled",13,0
"filling",15,0
"filter",0,18
"filtering",0,5
"final",92,76
"finalyear",10,0
"finance",23,59
"financial",23,73
"find",59,79
"finding",219,138
"findings",102,201
"finds",27,27
"fine",0,17
"finest",18,16
"finish",0,33
"finzer",0,20
"firmly",0,14
"first",167,122
"firstand",14,0
"firstgeneration",0,31
"firsthand",14,0
"firstyear",59,17
"fit",18,65
"fitness",0,16
"fitting",39,0
"five",0,144
"fix",55,0
"fixed",27,25
"flawed",16,26
"flexibility",155,72
"flexible",109,33
"flint",24,0
"flipped",28,0
"flourish",0,11
"flow",77,0
"flu",19,19
"fluid",0,22
"flux",22,0
"foccused",20,0
"focus",231,163
"focused",91,204
"focuses",38,17
"focusing",0,158
"folklore",16,0
"follow",61,158
"following",299,635
"follows",19,0
"followup",0,2
"food",0,18
"footprint",0,21
"forbes",0,9
"force",0,7
"forcefully",33,0
"forces",0,1
"forecast",0,46
"foresee",0,7
"foreshadowing",0,20
"forethought",26,28
"forging",0,16
"form",63,105
"formal",140,129
"formalizes",17,0
"formalizing",17,0
"format",24,0
"formative",42,37
"formats",21,86
"former",0,9
"forming",0,190
"forms",49,106
"formulate",15,36
"formulating",0,37
"formulation",0,53
"forprofit",0,33
"forth",53,102
"fortunately",9,10
"forum",0,33
"forward",144,0
"forwardlooking",19,0
"foster",100,45
"fostered",122,0
"fostering",114,32
"fostering",0,4
"fosters",17,0
"found",21,102
"foundation",120,162
"foundational",191,160
"foundations",91,306
"foundationsand",0,32
"foundationsupported",0,14
"founded",0,9
"four",0,220
"fourth",0,4
"fouryear",0,14
"fox",0,17
"frailty",13,13
"frame",15,36
"framework",26,26
"frameworks",13,49
"framing",33,0
"france",39,75
"franklin",0,0
"freedom",18,0
"frequency",0,22
"frequent",19,0
"frequently",35,9
"freshly",0,12
"friendly",21,0
"friendship",0,22
"frontier",15,10
"frontiers",0,3
"fueled",12,15
"fulfill",47,28
"full",84,176
"fullfledged",0,12
"fully",0,91
"fun",11,0
"functions",0,43
"fund",0,10
"fundamental",103,50
"fundamentals",30,244
"funded",33,28
"funding",86,130
"funds",14,30
"furthering",16,0
"furthermore",0,70
"fusing",15,0
"fusion",0,46
"future",470,433
"g",42,3
"gabriel",0,38
"gain",182,42
"gained",0,10
"gaining",0,24
"gains",31,28
"gallup",0,21
"gamoran",0,21
"gandin",0,0
"ganization",20,0
"gap",0,47
"gaps",75,38
"garbage",0,13
"gatekeepers",0,21
"gatekeeping",0,18
"gateway",20,26
"gateways",0,75
"gather",11,76
"gathered",34,0
"gathering",20,20
"gauge",0,22
"gauging",0,11
"gave",0,15
"gd",3,0
"geisler",13,12
"gender",18,127
"genders",0,24
"general",130,376
"generalists",0,19
"generalization",0,21
"generalize",0,10
"generalized",0,14
"generalizing",8,18
"generally",65,86
"generate",0,57
"generated",21,13
"generating",18,9
"generation",120,87
"generations",0,17
"genetic",11,0
"geneva",19,0
"genomic",0,30
"genomics",16,11
"gently",23,0
"geography",68,51
"geojournal",0,0
"georgetown",0,28
"georgia",43,113
"geoscience",9,37
"geosciences",0,16
"germany",0,21
"gertler",0,13
"get",13,90
"getting",0,32
"girls",0,23
"git",0,24
"github",0,11
"githubioidssyllabushtml",0,2
"give",24,68
"given",178,322
"gives",0,20
"giving",15,0
"gladly",31,28
"glance",11,0
"gleaned",0,12
"global",17,5
"globalscale",0,15
"globe",51,0
"go",0,45
"goal",37,64
"goals",227,196
"god",1,2
"goergen",0,22
"goes",11,20
"going",143,5
"gold",16,0
"gone",0,10
"good",235,149
"goods",0,23
"google",22,56
"gordon",9,0
"got",0,3
"govawardsearchshowawardawdid=",0,2
"government",141,81
"governmental",0,23
"governments",20,36
"govvernment",17,0
"grade",10,0
"graders",0,17
"grading",0,8
"gradually",10,0
"graduate",68,195
"graduatebachelorsbsapplieddataanalyticsandvisualizationcoremajorcurriculum",0,7
"graduated",0,33
"graduatelevel",34,7
"graduates",82,225
"graduating",0,3
"graduation",16,97
"gram",0,22
"grammar",0,24
"grant",0,30
"granted",0,9
"grants",0,24
"graph",0,46
"graphical",34,149
"graphics",0,124
"graphs",34,0
"grapple",12,0
"gravity",0,38
"gray",0,16
"great",117,38
"greater",49,48
"greatly",18,43
"green",0,21
"grid",0,5
"griffith",0,21
"ground",17,0
"grounded",38,8
"grounding",0,37
"groundwork",0,28
"group",161,85
"groupings",122,0
"groups",130,169
"groupsoutcomes",19,0
"groves",15,0
"grow",14,15
"growing",58,75
"grown",0,14
"grows",15,0
"growth",63,73
"guarantees",22,0
"guard",25,0
"guidance",17,69
"guide",33,112
"guided",0,12
"guidelines",6,69
"guiding",8,12
"guragand",0,1
"gutiérrez",0,1
"gutlerner",33,0
"gutman",0,1
"guyon",0,1
"h",0,4
"habits",0,13
"hackathon",27,0
"hackathons",28,28
"half",44,58
"hall",0,25
"hallmarks",9,0
"halpern",0,1
"hamilton",0,32
"hampshire",0,23
"hand",0,36
"handbook",0,6
"handed",0,9
"handelsman",27,15
"handinhand",0,20
"handle",33,40
"handson",45,179
"happen",30,0
"happens",0,7
"hard",20,0
"harder",0,23
"hardin",0,32
"hardware",0,33
"hardwon",31,28
"harm",29,27
"harris",0,42
"harvard",0,42
"harvardx",0,8
"harvey",0,69
"haute",0,28
"haven",0,5
"healing",15,12
"health",148,95
"healthy",0,11
"heard",24,0
"heart",16,34
"heavily",0,32
"heckman",0,18
"heightened",0,32
"heightening",0,18
"helba",0,0
"held",50,19
"help",294,325
"helpful",56,19
"helping",27,13
"helping",0,4
"helps",24,23
"henry",26,0
"heritage",11,0
"heterogeneity",14,0
"heterogeneous",0,39
"hey",0,36
"hicks",9,0
"hierarchical",0,11
"high",151,412
"higher",34,61
"higherorder",0,12
"highest",0,13
"highestquality",19,0
"highimpact",86,56
"highlevel",0,15
"highlighted",33,40
"highlighting",23,0
"highlights",92,0
"highly",77,140
"highperformance",0,35
"highpriority",24,0
"highprofile",16,16
"highquality",0,71
"hippocratic",100,72
"hire",39,67
"hires",0,18
"hiring",80,48
"hispanic",0,23
"historical",54,0
"historically",61,0
"histories",0,20
"history",0,144
"hit",17,6
"ho",0,40
"hoey",20,0
"hold",0,27
"holistic",0,24
"home",0,80
"homework",0,33
"hone",24,36
"honest",20,0
"honor",17,0
"hopefully",0,10
"hopes",0,38
"hopkins",11,104
"hor",34,0
"horton",0,28
"host",0,31
"hosted",40,102
"hosting",0,16
"hosts",0,44
"housed",72,40
"houses",0,7
"housing",0,75
"howard",10,0
"however",116,315
"html",0,8
"http",9,26
"httpbitly",0,1
"httpbulletintempleeduundergraduatesciencetechnologycomputerinformationsciencedatasciencecomputationalanalyticscertificate",0,10
"httpcatalogjcccedudegreecertificatescomputerinformationsystemsdataanalyticscert",0,10
"httpcataloglatechedupreviewprogramphpcatoid=poid=",0,16
"httpcatalogmontgomery",0,4
"httpcatalogmontgomerycollegeedupreviewcourse",0,5
"httpcatalogstolaf",0,5
"httpcommmunityamstatorgcmiseven",12,0
"httpcssaasclassorgfaq",5,0
"httpdataberkeleyedu",10,0
"httpdatafordemocracyorg",0,26
"httpdatafordemocracyorgprojectsethicshtml",0,11
"httpdataorg",0,23
"httpdsappuchicagoeduresearchareaslearningopportunities",7,0
"httpdsc",0,8
"httpdscucsdedu",0,4
"httpdxdoiorgssrn",0,8
"httpethomasewingorgdisc",7,0
"httpgreatbayeducoursescertificateprogramsdatapracticaldatascience",0,11
"httpguideslibraryjhueducphpg=p=",11,2
"httpiesedgovnceewwc",8,0
"httpirisisrumichedu",0,6
"httplehdcescensusgov",7,0
"httpllcstatpurdueedu",3,0
"httpmidas",0,13
"httpmsdseorgfilescreatinginstitutionalchangepdf",0,0
"httpmsdseorgthemes",7,0
"httpoercosuedu",0,7
"https",0,83
"httpsbjc",0,2
"httpscarpentriesorg",0,4
"httpscatalog",0,4
"httpscatalogwestminster",0,9
"httpscms",0,6
"httpscraorgwpcontentuploadscomputingresearchandtheemergingfieldofdatasciencepdf",0,0
"httpscscifranklinugaeducertificateapplieddatascience",0,24
"httpscsillinoiseduacademicsundergraduate",0,16
"httpscsillinoiseduacademicsundergraduatedegreeprogramoptionscsxdegreeprograms",12,0
"httpsdata",0,6
"httpsdataberkeleyedu",0,25
"httpsdataberkeleyedueducation",0,24
"httpsdatapracticesorgcommunityprinciplesonethicaldatasharing",0,16
"httpsds",0,7
"httpsdscsumassedu",10,0
"httpsdssguchicagoedu",0,10
"httpsdssguchicagoeduanethicalchecklistfor­datascience",0,4
"httpsdssguchicagoeduanethicalchecklistfordatascience",0,4
"httpsecureaacuorgimisaacur",12,0
"httpsedsourceorgbigdataclassesabighitincaliforniahighschools",0,0
"httpsericedgovid=ed",0,9
"httpsethicsacmorgcodedraft",0,0
"httpsgeneralassemb",0,5
"httpsindustrydata",0,9
"httpsischooluwedunewscallingbullshitmakesimpactschoolsacrosscountry",0,0
"httpslsaumichedustatsundergraduatestudentsundergraduateprogramsmajordatasciencehtml",0,3
"httpsmathalllianceorgwelccome",8,0
"httpsmiamioh",0,7
"httpsnysciorg",0,7
"httpsnytimsiyznr",0,0
"httpsscsgeorgetowneduprogramscertificateindatascienceutmsource=googleutmmedium=",0,11
"httpssph",0,7
"httpssphumichedubdsi",8,0
"httpstolafstudioabroadcomcustomtagsctfileretrievecfmfileid=fd",1,0
"httpswstuetzle",0,10
"httpswww",0,33
"httpswww­accenture",0,4
"httpswwwaccenture",0,4
"httpswwwafceaorgcontentnsfinvestsmillionsacademiccloudcomputingtestbeds",0,0
"httpswwwaissciencevteduprogramscmdahtml",0,10
"httpswwwamhersteduacademiclife",0,3
"httpswwwamhersteduacademiclifedepartments",0,5
"httpswwwamsorgpublications",0,1
"httpswwwcauseweborgcauseuscotsuscotskeynote",0,0
"httpswwwccacedudataanalyticstechnologyaspx",0,13
"httpswwwcollegecolumbiaeducorenode",5,0
"httpswwwcourseraorg",0,10
"httpswwwcswashingtoneduacademics",0,7
"httpswwwdatacampcom",0,4
"httpswwwedx",0,98
"httpswwwedxorg",0,9
"httpswwwedxorgcoursesubject",0,8
"httpswwwedxorgmicromasters",0,9
"httpswwweecsmiteduacademicsadmissionsundergraduateprogramscomputerscienceeconomicsanddatascience",0,6
"httpswwweecsumich",0,25
"httpswwwexploratoriumedueducation",5,0
"httpswwwforbescomforbesinsightseydataanalytics",0,0
"httpswwwibm",0,0
"httpswwwinferentialthinkingcom",0,0
"httpswwwlocgovexhibitslewisandclarktranscripthtml",9,0
"httpswwwnextgenscienceorg",33,0
"httpswwwnsf",0,14
"httpswwwnsfgovcrssprgmreu",4,0
"httpswwwnsfgovnewsnewssummjspcntnid=",0,9
"httpswwwnsfgovnsb",0,1
"httpswwwnsfgovpubsnsfnsfhtm",17,0
"httpswwwsoeucscedudepartmentscomputerscienceprogramlearningoutcomes",0,4
"httpswwwthisismetiscomdatasciencebootcamps",0,24
"httpswwwuberresearchcomvisualportfolios",0,5
"httpswwwutsystemedunewsutsystempartnersuscensusbureauprovidesalaryandjobsdatautgraduatesacross",0,0
"httpswwwwsjcomarticlestheallseeingsurveillancestatefearedinthewestisarealityinchina",0,0
"httpthedataistcomaproposalfordatascienceethics",0,6
"httpwiseliengrwiscedudocsbenefitschallengespdf",0,0
"httpwwamstatorg",0,1
"httpwww",0,12
"httpwwwairorgcentercollegemeasures",0,8
"httpwwwamstatorgasafilespdfs",0,1
"httpwwwamstatorgasafilespdfseduguidelinespdf",6,0
"httpwwwappamorg",0,17
"httpwwwcomputerworldcomarticlebigdatabigdatasbigroleinhumanitarianaidhtml",0,0
"httpwwwcore",0,32
"httpwwwcorestandardsorg",8,0
"httpwwwcsvtedu",3,0
"httpwwwdatascienceassnorgcodeofconduct",0,16
"httpwwwdatasciencecourseorg",0,6
"httpwwwdsorg",0,7
"httpwwwequalityofopportunityorgbigdatacourse",0,5
"httpwwwequalityofopportunityorgdocuments",0,7
"httpwwwevalorg",0,17
"httpwwwkellogg",0,5
"httpwwwmaaorgprogramsfacultyanddepartmentsingenious",6,0
"httpwwwnaseduenvisioningds",6,0
"httpwwwnashuacceduacademicsassociatedegreesstemandadvancedmanufacturingfoundationsindataanalytics",0,11
"httpwwwneonscienceorgobservatoryhistory",0,0
"httpwwwnormandaleeducontinuingeducationdataanalysis",0,9
"httpwwwproquestcom",0,4
"httpwwwresearchvcueduugresourcescecctrfellowshiphtm",6,0
"httpwwwrosebtcomblogopenforcommentproposeddatasciencecodeofprofessionalconduct",0,6
"httpwwwsasrochesteredu",0,10
"httpwwwsciencemagorgnewscanpredictivepolicingpreventcrimeithappens",0,0
"httpwwwspsnyueduacademicsdepartmentsmcgheeunder",0,7
"httpwwwstatcmu",0,6
"httpwwwstatcmueduacademics",9,0
"httpwwwstatuciedu",9,0
"httpwwwutdanacenter",0,5
"httpwwwwccneteduacademicsprogramsviewprogramctads",0,10
"hub",0,42
"hubris",18,0
"hubs",0,31
"huge",0,10
"hughes",23,0
"hughhes",10,0
"human",167,105
"humancentered",33,0
"humancomputer",54,0
"humanitarian",0,4
"humanities",101,96
"humans",29,9
"humbleness",14,15
"humidity",32,30
"hundred",0,13
"hundreds",12,0
"hurdles",0,13
"hurricane",0,7
"hurtado",0,2
"hvistendahl",23,17
"hybrid",48,0
"hybrids",0,11
"hypotheses",38,9
"iain",0,42
"ibid",0,0
"ibm",26,35
"icsucieduugraddegreesdegreedatasciencephp",0,2
"id",6,0
"idea",79,0
"ideal",19,34
"ideally",0,25
"ideas",74,29
"identifiable",3,3
"identification",0,19
"identified",40,0
"identifies",0,15
"identify",88,308
"identifying",64,21
"identities",0,23
"identity",0,20
"identityrelated",0,16
"ie",160,303
"ieee",0,58
"iesedgovnceewwc",0,20
"iis",23,0
"illinois",23,33
"illness",31,16
"illposed",0,37
"illuminate",11,11
"illuminated",0,15
"illustration",9,0
"illustrative",16,0
"image",0,17
"images",41,54
"imagine",0,4
"imagining",46,0
"imberman",0,77
"imensions",0,15
"immediately",17,51
"immersive",0,105
"immigration",21,24
"immunology",0,38
"impact",139,152
"impacted",19,0
"impactful",0,20
"impacts",41,132
"impede",0,12
"imperative",0,51
"implement",0,37
"implementation",0,42
"implementations",26,0
"implemented",22,20
"implementing",0,88
"implications",189,200
"importance",105,72
"important",452,489
"improve",107,105
"improved",63,29
"improvement",0,87
"improvementis",0,9
"improving",0,77
"inaccurate",50,16
"inc",0,42
"incentives",158,146
"incentivize",0,12
"inception",0,11
"inclination",10,0
"include",267,686
"included",156,93
"includes",110,159
"including",345,542
"inclusion",199,71
"inclusive",7,51
"income",0,27
"incomplete",27,11
"inconsistencies",0,14
"incorporate",95,30
"incorporate",0,14
"incorporated",160,22
"incorporates",23,0
"incorporating",83,77
"incorrect",0,36
"incorrectly",0,13
"increase",76,289
"increased",27,70
"increases",0,25
"increasing",56,94
"increasingly",34,113
"incrementally",0,23
"incubators",0,16
"inddustry",17,0
"indeed",19,0
"indelibly",0,18
"independent",48,72
"indepth",15,0
"indi­",0,13
"indiana",0,28
"indicate",0,14
"indications",8,8
"indicator",0,23
"indicators",0,25
"indirection",23,0
"individual",30,170
"individualbased",0,23
"individualized",30,15
"individuallevel",9,0
"individually",14,0
"individuals",184,286
"induce",0,23
"industries",46,106
"industry",233,377
"industrys",0,16
"inequality",25,54
"inequities",0,29
"inexperienced",0,34
"infancy",20,0
"infeasible",15,0
"inference",0,194
"inferences",0,42
"inferential",22,120
"infirm",2,14
"influence",31,116
"influenced",0,9
"influences",0,39
"influencing",0,17
"influential",5,0
"influenzarelated",12,12
"inform",162,82
"informal",52,0
"informatics",20,47
"information",404,499
"informationgathering",9,32
"informative",0,27
"informed",44,19
"informs",21,13
"infrastructure",195,142
"infrastructures",0,17
"infuse",0,19
"infusing",0,28
"infusion",0,37
"ingenious",32,0
"ingest",0,53
"ingrained",67,0
"ingredients",0,21
"inhabit",12,0
"inherent",51,0
"inherently",63,16
"initial",19,55
"initially",0,55
"initiated",8,0
"initiative",58,32
"initiatives",135,96
"injury",10,0
"inn",32,0
"inncluding",36,0
"innovate",0,9
"innovation",173,94
"innovations",41,3
"innovative",178,92
"innstitute",10,0
"inperson",20,14
"input",107,54
"inquiries",0,17
"inquiry",34,21
"inquirybased",24,0
"insects",21,0
"inside",23,0
"insight",26,9
"insights",147,114
"inspirational",0,42
"inspire",67,53
"inspired",0,22
"instance",44,100
"instances",16,17
"instantly",0,15
"instead",62,78
"instill",0,8
"instilled",22,0
"instills",0,16
"institute",136,187
"institutes",33,3
"institution",161,310
"institutional",210,281
"institutionally",0,25
"institutions",406,713
"institutionsfor",0,26
"institutionshave",0,24
"instruction",28,172
"instructional",78,72
"instructions",30,0
"instructor",0,39
"instructors",0,111
"instrument",7,0
"instrumented",0,16
"instruments",96,0
"insufficient",22,66
"insurance",23,24
"inteerdisciplinary",27,0
"integral",0,15
"integrate",29,58
"integrated",169,160
"integrated",0,48
"integrates",37,0
"integrating",22,0
"integration",105,82
"integrative",49,130
"integrity",0,18
"intellectual",103,78
"intellectually",0,24
"intelligence",36,78
"intelligent",0,45
"intelligibly",55,0
"intended",52,18
"intensive",0,28
"intent",0,28
"inter",0,16
"interaction",85,108
"interactions",66,144
"interactive",18,95
"interamerican",0,5
"interconnected",0,10
"intercultural",9,0
"interdepartmental",113,4
"interdependencewith",17,0
"interdisci",0,1
"interdisciplinary",187,187
"interest",66,210
"interested",45,123
"interesting",19,0
"interests",53,84
"interestsand",15,0
"interface",0,57
"interfaces",53,0
"interfaceshow",0,15
"intergenerational",0,11
"interim",435,33
"intermediate",0,124
"internal",0,13
"international",14,26
"internetconnected",0,16
"internetofthings",0,16
"internship",88,0
"internships",6,24
"interpolation",0,25
"interpolationeven",0,22
"interpret",24,19
"interpretability",12,0
"interpretation",87,130
"interpretations",22,48
"interpreted",21,0
"interpreting",14,0
"interrogate",22,0
"­interrogationup",0,29
"intersect",0,38
"intersection",29,0
"intersects",0,19
"intervention",21,0
"interventionists",3,13
"interventions",41,109
"intimate",14,0
"introduce",31,26
"introduced",0,46
"introduces",21,0
"introducing",21,0
"introduction",57,273
"introductory",54,510
"intrusions",0,13
"invalid",0,36
"invaluable",14,0
"inventory",0,10
"invested",18,17
"investigate",0,23
"investigates",0,18
"investigation",20,0
"investing",27,7
"investments",18,35
"invests",0,6
"involve",47,81
"involved",36,72
"involvement",61,75
"involves",24,61
"involving",0,103
"iom",27,0
"iowa",0,36
"iris",0,42
"irisisrumichedu",9,0
"irizarry",9,0
"irvine",15,12
"isbell",0,42
"isenberg",15,0
"issue",0,12
"issued",24,25
"issues",124,297
"items",0,18
"iterative",0,14
"iteratively",0,9
"j",3,13
"jack",0,4
"jacob",0,77
"janeiro",32,30
"janeja",0,38
"jansepetrus",0,1
"january",10,109
"japec",0,21
"jargon",0,29
"jefferson",63,0
"jeffersons",9,0
"jeong",0,1
"jevin",0,22
"jj",0,2
"jm",0,1
"job",14,132
"jobs",33,97
"john",26,0
"johns",11,104
"johnson",0,25
"johnstone",0,42
"johnstown",11,0
"join",17,0
"joint",0,124
"jointly",16,11
"jones",0,3
"jordan",22,38
"journal",0,36
"journalism",21,0
"journalists",0,14
"journalistsare",0,10
"journals",0,19
"journalsnoticesrnotippdf",0,1
"journey",28,0
"joy",18,42
"jr",0,45
"js",0,5
"judgment",37,44
"judgments",146,28
"july",27,0
"june",1,4
"junior",0,15
"juniorlevel",0,14
"junk",0,25
"jupyter",18,50
"jupyterbased",0,24
"just",80,102
"justice",21,17
"justify",0,78
"justintime",28,23
"k",94,13
"kaminski",13,14
"kannan",0,38
"karbownik",0,76
"karlsruhe",0,21
"katrinas",0,7
"kedi",0,3
"keep",63,81
"keeping",0,90
"keepingdatasciencebroadreport",0,1
"kellogg",0,16
"key",313,280
"kg",0,1
"ki",0,1
"kiesler",0,38
"kind",22,0
"kinds",0,71
"kitchin",12,13
"knife",18,14
"know",117,79
"knowing",18,0
"knowinnovation",0,38
"knowledge",279,591
"knowledgeable",0,17
"known",114,0
"kotz",0,42
"kreuter",0,1
"kugler",0,76
"kuh",12,0
"l",0,15
"l",0,11
"la",0,1
"label",13,0
"labeled",0,10
"labor",18,44
"laboratories",0,32
"laboratory",18,10
"labs",0,16
"lack",67,62
"lagged",0,21
"laid",18,0
"lake",0,31
"laments",0,9
"lampe",0,1
"landgrant",0,22
"landscape",0,38
"lane",0,26
"language",0,34
"languages",0,207
"laptops",0,16
"large",138,454
"largely",0,29
"larger",54,65
"largescale",20,18
"lasagna",11,10
"last",0,49
"lasting",0,51
"later",51,25
"latest",0,8
"latino",0,5
"latitude",55,0
"latter",0,53
"launched",0,34
"launches",0,9
"launching",0,58
"law",12,12
"lawyers",0,14
"lay",37,23
"laying",0,19
"layouts",0,18
"lays",44,12
"lazar",28,0
"lb",0,1
"lbd",0,22
"lc",1,1
"lead",107,82
"leadeers",23,0
"leaders",0,16
"leadership",62,72
"leading",9,114
"leads",56,0
"leakaage",34,0
"leakage",22,22
"learn",185,204
"learned",122,16
"learner",16,0
"learners",20,16
"learning",386,751
"least",29,68
"lecturebased",24,0
"lectures",28,0
"led",29,0
"lefgren",0,75
"legal",16,75
"legend",11,0
"legislation",17,0
"legler",15,0
"legs",21,0
"lehd",0,42
"leisure",16,0
"length",0,17
"lenses",10,0
"less",56,101
"lesson",21,0
"lessons",57,37
"level",159,316
"levels",122,251
"l­evels",0,46
"leverage",0,11
"leveraged",0,12
"leveraging",16,10
"lewis",40,0
"liable",10,0
"liberal",9,135
"liberties",23,16
"libraries",11,40
"library",19,0
"license",0,26
"lie",0,28
"lies",0,26
"life",103,269
"lifecycle",22,0
"lifelong",0,67
"lift",0,41
"light",12,5
"like",77,84
"likely",50,233
"likewise",0,18
"limit",14,0
"limitations",102,73
"limited",106,33
"limits",0,10
"lin",0,21
"line",18,0
"linear",25,181
"linguistics",39,37
"link",25,70
"linked",33,49
"linking",17,44
"links",18,37
"list",19,94
"listed",7,47
"listening",24,0
"listing",0,14
"listings",14,15
"lists",0,46
"literacy",124,0
"literary",0,18
"literature",9,37
"little",26,26
"live",51,28
"lives",26,13
"livinglearning",30,0
"lleras",0,17
"lmj",0,1
"loading",0,24
"local",61,72
"located",0,23
"location",19,3
"locations",0,20
"logic",0,29
"logical",0,29
"london",48,30
"long",18,82
"longerduration",0,14
"longerterm",0,6
"longitude",55,0
"longitudinal",22,22
"longitudinally",0,10
"longstanding",10,34
"longterm",19,41
"look",62,60
"looking",17,24
"los",0,42
"loss",0,10
"losses",16,0
"louis",0,26
"louisiana",21,16
"low",54,81
"lowcost",0,3
"lower",24,110
"lowerorder",0,12
"lowstakes",0,23
"lsa",0,30
"lucas",0,98
"lum",0,4
"lured",0,11
"lurking",0,34
"lyeducationdatascienceimmersive",0,2
"m",45,75
"maahsfladung",0,0
"maathematical",36,0
"machin",0,76
"machine",96,323
"machinery",0,13
"machines",11,0
"made",122,195
"main",12,0
"mainstream",0,15
"maintain",0,23
"maintaining",22,50
"maintenance",0,16
"major",36,431
"major",0,42
"majoring",28,39
"majority",10,42
"majorityserving",0,17
"majors",76,271
"make",317,258
"makers",35,24
"makes",48,29
"making",197,286
"man",16,0
"manage",45,78
"management",91,319
"managers",35,0
"managing",0,59
"mange",0,10
"manner",17,62
"manufacturing",23,34
"manuscript",0,9
"many",309,808
"map",21,21
"mapping",15,0
"maps",18,0
"march",0,43
"margins",0,33
"margo",0,42
"markdown",0,24
"marked",0,16
"market",30,196
"marketable",0,41
"marketing",0,40
"markow",0,25
"marshaling",0,9
"martinez",0,1
"maryland",0,21
"marylands",0,78
"massachusetts",25,60
"massive",22,61
"massive",0,60
"master",0,44
"masters",68,32
"mastersindatascienceorgschoolscertificates",0,2
"masterslevel",18,18
"mastery",0,26
"match",0,26
"matched",0,19
"matching",0,10
